6	46974602	47186447	ANF_lig-bd_rcpt	327.1	-	46974602	47186447	83,88,95	7	211558,-216,-135,-154,-140,-200,211772	0,101999,65681,59432,56314,19166,73	PF01094	http://pfam.sanger.ac.uk/family?acc=PF01094
6	47030780	47030827	GPCR_3_mtglu_rcpt_4	745.0	-	47030780	47030827	83,88,95	1	47	0	PR01054	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01054&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01054
6	46972005	46974556	GPCR_3_mtglu_rcpt_4	625.0	-	46972005	46974556	83,88,95	2	2534,2513	0,38	PR01054	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01054&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01054
6	46971327	46971371	GPCR_3_mtglu_rcpt_4	590.0	-	46971327	46971371	83,88,95	1	44	0	PR01054	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01054&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01054
6	46945833	46945877	GPCR_3_mtglu_rcpt_4	550.0	-	46945833	46945877	83,88,95	1	44	0	PR01054	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01054&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01054
6	46920945	46945811	GPCR_3_mtglu_rcpt_4	725.0	-	46920945	46945811	83,88,95	2	24851,24823	0,43	PR01054	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR01054&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR01054
6	47040243	47040278	GPCR_3_mtglu_rcpt	394.0	-	47040243	47040278	83,88,95	1	35	0	PR00593	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00593&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00593
6	47040189	47040227	GPCR_3_mtglu_rcpt	365.0	-	47040189	47040227	83,88,95	1	38	0	PR00593	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00593&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00593
6	47030909	47033919	GPCR_3_mtglu_rcpt	476.0	-	47030909	47033919	83,88,95	2	2971,3003	0,7	PR00593	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00593&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00593
6	46993701	46993736	GPCR_3_mtglu_rcpt	457.0	-	46993701	46993736	83,88,95	1	35	0	PR00593	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00593&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00593
6	46971540	46971584	GPCR_3_mtglu_rcpt	495.0	-	46971540	46971584	83,88,95	1	44	0	PR00593	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00593&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00593
6	46945983	46946027	GPCR_3_mtglu_rcpt	510.0	-	46945983	46946027	83,88,95	1	44	0	PR00593	http://www.bioinf.manchester.ac.uk/cgi-bin/dbbrowser/sprint/searchprintss.cgi?prints_accn=PR00593&display_opts=Prints&category=None&queryform=false&regexpr=off&prints_accn=PR00593
6	46945905	46971791	GPCR_3_C	69.441	-	46945905	46971791	83,88,95	2	25203,25746	0,140	PS50259	http://www.expasy.ch/prosite/PS50259
6	46972020	47186561	Peripla_BP_I	0.0	-	46972020	47186561	83,88,95	8	214140,-216,-135,-154,-140,-200,-136,214518	0,104581,68263,62014,58896,21748,2655,23	SSF53822	http://supfam.org/SUPERFAMILY/cgi-bin/scop.cgi?ipid=SSF53822
